Port_IDs,Total_PnL,Total_Investment,ROI,Mean_PnL,Std_PnL,Sharpe_Ratio,Max_Drawdown,Total_Positions,Win_Positions,Win_Rate,Score
3.96614E+18,4883.800776,801217.8626,0.006095472,2.527847193,48.15977711,0.052488764,-181.3815098,1932,1028,53.20910973,41.85677843
3.76817E+18,243.668899,766.603827,0.317855052,17.40492136,41.02249859,0.424277456,0,14,6,42.85714286,17.12719959
3.87982E+18,4268.006561,96319.27891,0.044311031,4.894502937,37.3797017,0.130940128,-42.58664586,872,289,33.14220183,13.64327264
3.82609E+18,532.6569737,3032.332094,0.175659182,4.932009016,7.305582363,0.675101419,-0.050347734,108,63,58.33333333,13.07230057
4.00441E+18,2905.763867,238244.9309,0.01219654,5.731289678,30.31173663,0.189078236,-44.06172678,507,175,34.51676529,12.80860696
3.96087E+18,19567.47129,4261385.117,0.00459181,8.183802294,50.22345524,0.162947815,-34.53621032,2391,1233,51.56838143,12.29663696
4.0418E+18,-776.3429997,290060.3742,-0.002676488,-2.109627717,27.07110338,-0.077929137,-46.06738375,368,85,23.09782609,11.39282111
3.98681E+18,16337.46188,969009.0542,0.016859968,4.596922307,13.93908286,0.329786569,-0.000148908,3554,2780,78.221722,8.595536682
3.73319E+18,2923.9772,580774.2607,0.005034619,4.243798548,70.41844734,0.060265438,-0.760355032,689,553,80.26124819,8.397660221
3.95605E+18,1373.56489,51031.0155,0.026916276,49.05588893,93.46437752,0.52486188,0,28,20,71.42857143,8.376966741
3.88675E+18,7195.178325,398885.0601,0.018038225,5.760751261,25.98285167,0.221713588,-0.030570947,1249,931,74.53963171,8.248120422
4.01396E+18,1690.02705,119307.1422,0.014165347,4.720745949,20.58913953,0.229283305,-4.912135153,358,236,65.92178771,8.210004667
3.89102E+18,2856.300564,73072.0627,0.039088818,6.536156897,15.1133043,0.432477026,0,437,283,64.7597254,8.16926837
3.97723E+18,2427.292831,28369.70963,0.085559312,29.24449194,95.9666875,0.304735869,0,83,33,39.75903614,7.489696846
3.94466E+18,2074.44998,29044.02184,0.071424336,46.09888844,113.1287808,0.407490367,0,45,20,44.44444444,7.423665002
4.03913E+18,1264.2892,19356.7475,0.065315167,9.505933832,18.20911497,0.522042606,0,133,59,44.36090226,7.205309696
3.90708E+18,18015.99737,822097.0045,0.021914686,4.354845871,19.5521919,0.222729293,-0.242907962,4137,2540,61.39714769,7.131702573
4.02975E+18,3662.136548,55921.4847,0.065487112,4.278196902,12.08949448,0.353877237,0,856,367,42.87383178,7.01303084
4.01732E+18,3134.735103,79241.01032,0.039559504,5.751807528,26.97740557,0.213208328,0,545,273,50.09174312,6.655516989
4.03543E+18,2493.75042,64037.89399,0.038941793,28.01966764,59.66210636,0.469639263,0,89,43,48.31460674,6.530024178
